location,postings,companies,avg_salary_lpa
Hybrid - Khammam,1,1,20.0
"Warangal, Hyderabad",1,1,31.25
Chennai(Egmore),1,1,3.75
"Hybrid - Kolkata, Bengaluru, Delhi / Ncr",1,1,17.0
Pimpri-Chinchwad,1,1,25.0
"Hyderabad, Gurugram, Coimbatore",1,1,22.75
"Gandhinagar, Ahmedabad, Surat",1,1,22.5
"Udaipur, Gurugram",1,1,13.0
Ahmedabad(Bopal +2),1,1,2.75
Mulug,1,1,15.0
"Kochi(Kakkanad), Bengaluru(Hsr Layout)",1,1,3.5
Bahadurgarh,1,1,15.0
"Guwahati, Kolkata",1,1,6.0
Kolkata(Em Bypass +1),1,1,2.38
Krishnagiri,1,1,25.0
Hybrid - Bengaluru(Sarjapur),1,1,15.5
"Adampur, Punjab",1,1,1.25
"Hybrid - Hyderabad, Bengaluru, Delhi / Ncr",1,1,35.0
Udaipur,1,1,26.25
Hybrid - Mulug,1,1,20.0
"Noida(Sector 63), Ghaziabad(Indirapuram +1)",1,1,4.25
"India, Chennai",1,1,7.5
"Noida, Gurugram, Delhi / Ncr",1,1,4.5
Kolkata(Sector 5 Salt Lake),1,1,6.5
"Hybrid - Noida, Pune, Gurugram, Bengaluru",1,1,27.5
Mulshi,1,1,18.75
Hybrid - Kochi,1,1,8.0
"Hybrid - Mumbai, Mumbai Suburban, Mumbai (All Areas)",1,1,9.5
Mumbai(Dadar),1,1,20.5
"Mohali, Chandigarh, Panchkula",1,1,2.0
Navsari,1,1,4.5
"Gurugram, Bengaluru",1,1,32.5
"Pune, Ahmedabad, Bengaluru",1,1,17.0
Tambaram,1,1,1.62
"Noida, Gurugram, Bengaluru",1,1,6.0
